,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.162045,0.133023,0.144282
Normalized EBITDA,130541000000.0,120233000000.0,77344000000.0
Net Income From Continuing Operation Net Minority Interest,99803000000.0,94680000000.0,57411000000.0
Reconciled Depreciation,11104000000.0,11284000000.0,11056000000.0
Reconciled Cost Of Revenue,223546000000.0,212981000000.0,169559000000.0
EBITDA,130541000000.0,120233000000.0,77344000000.0
EBIT,119437000000.0,108949000000.0,66288000000.0
Net Interest Income,-106000000.0,198000000.0,890000000.0
Interest Expense,2931000000.0,2645000000.0,2873000000.0
Interest Income,2825000000.0,2843000000.0,3763000000.0
Normalized Income,99803000000.0,94680000000.0,57411000000.0
Net Income From Continuing And Discontinued Operation,99803000000.0,94680000000.0,57411000000.0
Total Expenses,274891000000.0,256868000000.0,208227000000.0
Total Operating Income As Reported,119437000000.0,108949000000.0,66288000000.0
Diluted Average Shares,16325819000.0,16864919000.0,17528214000.0
Basic Average Shares,16215963000.0,16701272000.0,17352119000.0
Diluted EPS,6.11,5.61,3.28
Basic EPS,6.15,5.67,3.31
Diluted NI Availto Com Stockholders,99803000000.0,94680000000.0,57411000000.0
Net Income Common Stockholders,99803000000.0,94680000000.0,57411000000.0
Net Income,99803000000.0,94680000000.0,57411000000.0
Net Income Including Noncontrolling Interests,99803000000.0,94680000000.0,57411000000.0
Net Income Continuous Operations,99803000000.0,94680000000.0,57411000000.0
Tax Provision,19300000000.0,14527000000.0,9680000000.0
Pretax Income,119103000000.0,109207000000.0,67091000000.0
Other Income Expense,-334000000.0,258000000.0,803000000.0
Other Non Operating Income Expenses,-334000000.0,258000000.0,803000000.0
Net Non Operating Interest Income Expense,-106000000.0,198000000.0,890000000.0
Interest Expense Non Operating,2931000000.0,2645000000.0,2873000000.0
Interest Income Non Operating,2825000000.0,2843000000.0,3763000000.0
Operating Income,119437000000.0,108949000000.0,66288000000.0
Operating Expense,51345000000.0,43887000000.0,38668000000.0
Research And Development,26251000000.0,21914000000.0,18752000000.0
Selling General And Administration,25094000000.0,21973000000.0,19916000000.0
Gross Profit,170782000000.0,152836000000.0,104956000000.0
Cost Of Revenue,223546000000.0,212981000000.0,169559000000.0
Total Revenue,394328000000.0,365817000000.0,274515000000.0
Operating Revenue,394328000000.0,365817000000.0,274515000000.0
