,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3184000000.0,3645000000.0,4033000000.0,2767000000.0
Repurchase Of Capital Stock,-1396000000.0,-1250000000.0,-898000000.0,-999000000.0
Repayment Of Debt,-2281000000.0,-1782000000.0,-2660000000.0,-2133000000.0
Issuance Of Debt,2068000000.0,772000000.0,1485000000.0,672000000.0
Issuance Of Capital Stock,88000000.0,102000000.0,30000000.0,82000000.0
Capital Expenditure,-1571000000.0,-1182000000.0,-1158000000.0,-1193000000.0
End Cash Position,1608000000.0,1976000000.0,1668000000.0,1133000000.0
Beginning Cash Position,1976000000.0,1668000000.0,1133000000.0,1065000000.0
Effect Of Exchange Rate Changes,-4000000.0,1000000.0,2000000.0,3000000.0
Changes In Cash,-364000000.0,307000000.0,533000000.0,65000000.0
Financing Cash Flow,-2751000000.0,-3249000000.0,-3282000000.0,-3606000000.0
Cash Flow From Continuing Financing Activities,-2751000000.0,-3249000000.0,-3282000000.0,-3606000000.0
Net Other Financing Charges,-24000000.0,72000000.0,46000000.0,-32000000.0
Interest Paid Cff,-677000000.0,-679000000.0,-705000000.0,-736000000.0
Cash Dividends Paid,-529000000.0,-484000000.0,-580000000.0,-460000000.0
Preferred Stock Dividend Paid,-12000000.0,-12000000.0,,
Common Stock Dividend Paid,-517000000.0,-472000000.0,-580000000.0,-460000000.0
Net Common Stock Issuance,-1308000000.0,-1148000000.0,-868000000.0,-917000000.0
Common Stock Payments,-1396000000.0,-1250000000.0,-898000000.0,-999000000.0
Common Stock Issuance,88000000.0,102000000.0,30000000.0,82000000.0
Net Issuance Payments Of Debt,-213000000.0,-1010000000.0,-1175000000.0,-1461000000.0
Net Short Term Debt Issuance,206000000.0,-159000000.0,-82000000.0,-228000000.0
Short Term Debt Payments,-44000000.0,-159000000.0,-150000000.0,-228000000.0
Short Term Debt Issuance,250000000.0,,68000000.0,
Net Long Term Debt Issuance,-419000000.0,-851000000.0,-1093000000.0,-1233000000.0
Long Term Debt Payments,-2237000000.0,-1623000000.0,-2510000000.0,-1905000000.0
Long Term Debt Issuance,1818000000.0,772000000.0,1417000000.0,672000000.0
Investing Cash Flow,-2368000000.0,-1271000000.0,-1376000000.0,-289000000.0
Cash From Discontinued Investing Activities,,,,0.0
Cash Flow From Continuing Investing Activities,-2368000000.0,-1271000000.0,-1376000000.0,-289000000.0
Net Other Investing Changes,58000000.0,75000000.0,-20000000.0,47000000.0
Net Investment Purchase And Sale,-42000000.0,-164000000.0,-212000000.0,837000000.0
Sale Of Investment,138000000.0,,,37000000.0
Purchase Of Investment,-180000000.0,,,
Net Business Purchase And Sale,-813000000.0,0.0,14000000.0,20000000.0
Sale Of Business,,0.0,14000000.0,20000000.0
Purchase Of Business,-813000000.0,,,0.0
Net Intangibles Purchase And Sale,-419000000.0,-379000000.0,-338000000.0,-376000000.0
Purchase Of Intangibles,-419000000.0,-379000000.0,-338000000.0,-376000000.0
Net PPE Purchase And Sale,-1152000000.0,-803000000.0,-820000000.0,-817000000.0
Sale Of PPE,,14000000.0,9000000.0,9000000.0
Purchase Of PPE,-1152000000.0,-803000000.0,-820000000.0,-817000000.0
Operating Cash Flow,4755000000.0,4827000000.0,5191000000.0,3960000000.0
Cash Flow From Continuing Operating Activities,4755000000.0,4827000000.0,5191000000.0,3960000000.0
Taxes Refund Paid,-439000000.0,-643000000.0,-452000000.0,-630000000.0
Interest Received Cfo,38000000.0,8000000.0,11000000.0,21000000.0
Change In Working Capital,-1007000000.0,-232000000.0,595000000.0,-335000000.0
Change In Other Working Capital,-495000000.0,70000000.0,121000000.0,-20000000.0
Change In Receivables,-512000000.0,-302000000.0,474000000.0,-315000000.0
Changes In Account Receivables,-512000000.0,-302000000.0,474000000.0,-315000000.0
Other Non Cash Items,681000000.0,725000000.0,776000000.0,780000000.0
Provisionand Write Offof Assets,,-32000000.0,41000000.0,
Asset Impairment Charge,34000000.0,54000000.0,33000000.0,92000000.0
Deferred Tax,665000000.0,277000000.0,431000000.0,392000000.0
Deferred Income Tax,665000000.0,277000000.0,431000000.0,392000000.0
Depreciation Amortization Depletion,2795000000.0,2664000000.0,2596000000.0,2524000000.0
Depreciation And Amortization,2795000000.0,2664000000.0,2596000000.0,2524000000.0
Amortization Cash Flow,887000000.0,835000000.0,792000000.0,781000000.0
Amortization Of Intangibles,887000000.0,835000000.0,792000000.0,781000000.0
Depreciation,1908000000.0,1829000000.0,1804000000.0,1743000000.0
Operating Gains Losses,-6000000.0,-2000000.0,9000000.0,-15000000.0
Gain Loss On Investment Securities,-6000000.0,-2000000.0,9000000.0,-15000000.0
Net Income From Continuing Operations,1994000000.0,1976000000.0,1192000000.0,1131000000.0
